oid,timestamp,x,y,body_roll,body_pitch,body_yaw,head_roll,head_pitch,head_yaw,other_oid,other_class,labels2
50187,1842.4,495854.6403,5405750.912,None,None,None,None,None,None,"[47646, 50181, 50184, 50187]","[0, 4, 4, 4]",PEDESTRIANS
50187,1842.5,495854.7921,5405750.939,None,None,None,None,None,None,"[50181, 50187, 50184, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1842.6,495854.9438,5405750.966,None,None,None,None,None,None,"[47646, 50187, 50184, 50181]","[0, 4, 4, 4]",PEDESTRIANS
50187,1842.7,495855.0956,5405750.993,None,None,None,None,None,None,"[50187, 47646, 50184, 50181]","[4, 0, 4, 4]",PEDESTRIANS
50187,1842.8,495855.2569,5405751.022,None,None,None,None,None,None,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1842.9,495855.4379,5405751.052,None,None,None,None,None,None,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1843,495855.6188,5405751.083,None,None,None,None,None,None,"[47646, 50184, 50181, 50187]","[0, 4, 4, 4]",PEDESTRIANS
50187,1843.1,495855.7998,5405751.114,None,None,None,None,None,None,"[50181, 50184, 50187, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1843.2,495855.9636,5405751.156,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]",PEDESTRIANS
50187,1843.3,495856.0874,5405751.198,None,None,None,None,None,None,"[47646, 50181, 50184, 50187]","[0, 4, 4, 4]",PEDESTRIANS
50187,1843.4,495856.2185,5405751.202,None,None,None,None,None,None,"[50184, 50181, 47646, 50187]","[4, 4, 0, 4]",PEDESTRIANS
50187,1843.5,495856.3774,5405751.229,None,None,None,None,None,None,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]",PEDESTRIANS
50187,1843.6,495856.523,5405751.242,None,None,None,None,None,None,"[47646, 50181, 50184, 50187]","[0, 4, 4, 4]",PEDESTRIANS
50187,1843.7,495856.6538,5405751.265,None,None,None,None,None,None,"[47646, 50181, 50187, 50184]","[0, 4, 4, 4]",PEDESTRIANS
50187,1843.8,495856.782,5405751.283,None,None,None,None,None,None,"[47646, 50187, 50184, 50181]","[0, 4, 4, 4]",PEDESTRIANS
50187,1843.9,495856.9081,5405751.28,None,None,None,None,None,None,"[50181, 50184, 50187, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1844,495857.0402,5405751.261,3.2,0,172.8,0,5,162,"[50181, 50187, 50184, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1844.1,495857.1656,5405751.24,None,None,None,None,None,None,"[50181, 50187, 50184, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1844.2,495857.291,5405751.227,0,0,166.307,0,0,166.466,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1844.3,495857.4164,5405751.231,None,None,None,None,None,None,"[50187, 47646, 50181, 50184]","[4, 0, 4, 4]",PEDESTRIANS
50187,1844.4,495857.5418,5405751.234,None,None,None,None,None,None,"[50181, 47646, 50184, 50187]","[4, 0, 4, 4]",PEDESTRIANS
50187,1844.5,495857.6672,5405751.238,None,None,None,None,None,None,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1844.6,495857.7926,5405751.241,None,None,None,None,None,None,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]",PEDESTRIANS
50187,1844.7,495857.9181,5405751.245,None,None,None,None,None,None,"[50184, 47646, 50187, 50181]","[4, 0, 4, 4]",PEDESTRIANS
50187,1844.8,495858.0435,5405751.248,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]",PEDESTRIANS
50187,1844.9,495858.1689,5405751.252,None,None,None,None,None,None,"[47646, 50181, 50187, 50184]","[0, 4, 4, 4]",PEDESTRIANS
50187,1845,495858.285,5405751.262,0,0,166.4,0,0,152.8,"[50187, 50184, 47646, 50181]","[4, 4, 0, 4]",PEDESTRIANS
50187,1845.1,495858.3748,5405751.292,None,None,None,None,None,None,"[50184, 50181, 47646, 50187]","[4, 4, 0, 4]",PEDESTRIANS
50187,1845.2,495858.4749,5405751.31,0,0,176.266,0,0,181.245,"[50184, 50181, 47646, 50187]","[4, 4, 0, 4]",PEDESTRIANS
50187,1845.3,495858.5832,5405751.289,0,0,178.4,0,0,195.91,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]",PEDESTRIANS
50187,1845.4,495858.6429,5405751.267,2.98755,0,173.15,0,-4.8,172.8,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]",PEDESTRIANS
50187,1845.5,495858.7502,5405751.266,0,0,161.328,0,0,179.253,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1845.6,495858.8593,5405751.231,0,0,172.8,2.2,0,172.09,"[47646, 50187, 50184, 50181]","[0, 4, 4, 4]",PEDESTRIANS
50187,1845.7,495858.9869,5405751.236,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]",PEDESTRIANS
50187,1845.8,495859.1144,5405751.24,None,None,None,None,None,None,"[50184, 47646, 50181, 50187]","[4, 0, 4, 4]",PEDESTRIANS
50187,1845.9,495859.2494,5405751.246,2.6,-7,176,1.4,0,166.8,"[50181, 47646, 50187, 50184]","[4, 0, 4, 4]",PEDESTRIANS
50187,1846,495859.3972,5405751.249,2,-6,173.6,0.4,0,172.8,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1846.1,495859.505,5405751.212,None,None,None,None,None,None,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]",PEDESTRIANS
50187,1846.2,495859.6136,5405751.165,4.4,-5.2,180.212,-0.693776,-6.6,177.012,"[50184, 47646, 50181, 50187]","[4, 0, 4, 4]",PEDESTRIANS
50187,1846.3,495859.7218,5405751.091,4,0,170.465,1.49378,-0.8,172.073,"[50184, 50187, 47646, 50181]","[4, 4, 0, 4]",PEDESTRIANS
50187,1846.4,495859.821,5405751.054,3.6,0,174.8,1.9917,-3.8,173.477,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1846.5,495859.9316,5405751.061,4.2,0,180.4,0,0,170.4,"[50187, 50184, 50181, 47646]","[4, 4, 4, 0]",PEDESTRIANS
50187,1846.6,495860.0499,5405751.075,5,0,169.2,2.48963,0,174.285,"[50187, 50190, 50181, 50184, 47646]","[4, 3, 4, 4, 0]",PEDESTRIANS
50187,1846.7,495860.1949,5405751.158,None,None,None,None,None,None,"[50187, 50190, 47646, 50184, 50181]","[4, 3, 0, 4, 4]",PEDESTRIANS
50187,1846.8,495860.3463,5405751.251,6.2,0,173.2,5,0,165.6,"[50187, 50184, 50181, 50190, 47646]","[4, 4, 4, 3, 0]",PEDESTRIANS
50187,1846.9,495860.518,5405751.371,5.4,0,172.8,4.6,0,168.8,"[47646, 50190, 50181, 50184, 50187]","[0, 3, 4, 4, 4]",PEDESTRIANS
50187,1847,495860.6622,5405751.43,5.4,0,173.2,6.4,0,163.6,"[50184, 50187, 50181, 50190, 47646]","[4, 4, 4, 3, 0]",PEDESTRIANS
50187,1847.1,495860.7857,5405751.399,6.2,-2.2,158.8,7.4,0,158.4,"[47646, 50190, 50181, 50184, 50187]","[0, 3, 4, 4, 4]",PEDESTRIANS
50187,1847.2,495860.9035,5405751.41,0,0,153.086,6.4,0,160.385,"[50181, 50190, 47646, 50187, 50184]","[4, 3, 0, 4, 4]",PEDESTRIANS
50187,1847.3,495860.9923,5405751.371,None,None,None,None,None,None,"[50187, 50184, 50181, 50191, 50190, 47646]","[4, 4, 4, 7, 3, 0]",PEDESTRIANS
50187,1847.4,495861.0812,5405751.331,None,None,None,None,None,None,"[47646, 50190, 50191, 50181, 50184, 50187]","[0, 3, 7, 4, 4, 4]",PEDESTRIANS
50187,1847.5,495861.17,5405751.291,None,None,None,None,None,None,"[50191, 50181, 50187, 50184, 47646, 50190]","[7, 4, 4, 4, 0, 3]",PEDESTRIANS
50187,1847.6,495861.2589,5405751.252,None,None,None,None,None,None,"[50191, 50190, 47646, 50187]","[7, 3, 0, 4]",PEDESTRIANS
50187,1847.7,495861.3478,5405751.212,None,None,None,None,None,None,"[47646, 50191, 50187, 50190]","[0, 7, 4, 3]",PEDESTRIANS
50187,1847.8,495861.43,5405751.163,0,0,155.556,12.4,-5.4,161.417,"[47646, 50190, 50191, 50187]","[0, 3, 7, 4]",PEDESTRIANS
50187,1847.9,495861.4913,5405751.066,None,None,None,None,None,None,"[50187, 50190, 50191, 47646]","[4, 3, 7, 0]",PEDESTRIANS
50187,1848,495861.6362,5405751.009,None,None,None,None,None,None,"[50191, 50187, 47646, 50190]","[7, 4, 0, 3]",PEDESTRIANS
50187,1848.1,495861.8271,5405751.022,0,0,136.4,15.4,-5,162,"[50187, 47646, 50191]","[4, 0, 7]",PEDESTRIANS
50187,1848.2,495861.9457,5405751.036,6.96721,0.298361,148.026,3.6,1.2,143.043,"[50187, 47646, 50191]","[4, 0, 7]",PEDESTRIANS
50187,1848.3,495862.1146,5405751.064,0.189468,0.304409,150.662,13.8272,-7.05185,160.444,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1848.4,495862.2643,5405751.201,None,None,None,None,None,None,"[50191, 50187, 47646, 50194]","[7, 4, 0, 3]",PEDESTRIANS
50187,1848.5,495862.3761,5405751.332,0,-4.83279,145.934,3,3.2,149.161,"[50191, 47646, 50187, 50194]","[7, 0, 4, 3]",PEDESTRIANS
50187,1848.6,495862.5026,5405751.426,3.8,-4.14098,150.603,4.27541,-3,149.128,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1848.7,495862.6353,5405751.496,0,-9,147.6,4.44444,0,158.578,"[50191, 50187, 50194, 47646]","[7, 4, 3, 0]",PEDESTRIANS
50187,1848.8,495862.7429,5405751.508,None,None,None,None,None,None,"[47646, 50187, 50194, 50191]","[0, 4, 3, 7]",PEDESTRIANS
50187,1848.9,495862.8516,5405751.519,0,0,139.2,4,0,155.6,"[50191, 50187, 50194, 47646]","[7, 4, 3, 0]",PEDESTRIANS
50187,1849,495862.9677,5405751.529,0,-9.8,121.2,3.45679,0,157.6,"[50187, 50194, 50191, 47646]","[4, 3, 7, 0]",PEDESTRIANS
50187,1849.1,495863.0591,5405751.54,0,0,144.4,1.64938,4.12099,162.844,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1849.2,495863.1095,5405751.583,None,None,None,None,None,None,"[50194, 50187, 47646, 50191]","[3, 4, 0, 7]",PEDESTRIANS
50187,1849.3,495863.16,5405751.626,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1849.4,495863.2148,5405751.674,2.8,-17.8,136.8,18.7877,-3,152.8,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1849.5,495863.3549,5405751.815,None,None,None,None,None,None,"[50194, 50191, 47646, 50187]","[3, 7, 0, 4]",PEDESTRIANS
